"cdentite";"lbstationhydro";"typestation";"dtmiseservice";"dtfermeture";"longitude";"latitude"
V412401101;L'Eyrieux à Saint-Martin-de-Valamas - La Condamine;STD;2023-08-01 00:00:00;;4.393006503853588;44.937812115077186
V414521001;La Glueyre à Gluiras [Tisonèche];STD;1953-01-01 00:00:00;;4.5183809381720375;44.8296011280136
V414521101;L'Eyrieux à Beauvène [Pont de Chervil];STD;1953-01-01 00:00:00;;4.525183418398275;44.88253848095247
V415401001;L'Eyrieux aux Ollières-sur-Eyrieux;STD;1960-03-07 07:00:00;;4.615584555929652;44.81128059129728
V415401002;L'Eyrieux aux Ollières-sur-Eyrieux - Echelle EAC;H;1961-01-01 07:00:00;1992-12-31 07:00:00;4.615424548127056;44.80455900809615
V417401001;L'Eyrieux à Saint-Fortunat-sur-Eyrieux;STD;1965-01-01 00:00:00;1991-04-30 00:00:00;4.672039288630062;44.825149467028
V417402001;Le Rhône à la Voulte-sur-Rhône;STD;1996-01-01 00:00:00;;4.778815937302368;44.79564370014783
V417402101;L'Eyrieux à Saint-Fortunat-sur-Eyrieux [Pontpierre];STD;2013-03-30 00:00:00;;4.706893207425256;44.81573939457755
V421401001;La Drôme à Luc-en-Diois;STD;1907-01-01 00:00:00;;5.444484786556887;44.618699785379015
V421401101;Le ruisseau de Martrou [Source captée] à Montlaur-en-Diois;STD;2009-01-01 00:00:00;;5.405553754094587;44.6236577428437
V422501001;Le Bès à Châtillon-en-Diois;STD;1963-01-01 00:00:00;;5.490710371559124;44.693075986447354
V422601001;Le ruisseau de l'Archiane à Treschenu-Creyers [Menée];STD;1970-01-01 00:00:00;2003-12-01 00:00:00;5.527537340483144;44.717371905748806
V422602001;Le Bès à Treschenu-Creyers [Archiane];STD;2009-10-20 00:00:00;;5.507582639172828;44.74245222050695
V423000301;La Drôme à Die;STD;1967-01-01 08:00:00;1980-10-31 08:00:00;5.375629753942626;44.74826135216822
V426401001;La Drôme à Saillans;STD;1910-01-01 00:00:00;;5.208538594264284;44.68989813269512
V426401002;La Drôme à Saillans;STD;1999-10-07 00:00:00;2008-01-01 00:00:00;5.208538594264284;44.68989813269512
V427501001;La Gervanne à Beaufort-sur-Gervanne;STD;1966-05-01 00:00:00;;5.145589236513855;44.77640819949708
V427502001;La Gervanne à Plan-de-Baix;STD;1981-02-10 00:00:00;1989-04-08 00:00:00;5.191787185637489;44.83075112741572
V427591001;La Gervanne à Beaufort-sur-Gervanne [Résurgence des Fontaigneux];STD;1969-08-01 00:00:00;;5.137369822955322;44.76741650707877
V428402101;La Drôme à Loriol-sur-Drôme [Loriol];STD;1996-12-19 00:00:00;2012-12-01 12:00:00;4.786786623999124;44.76827408509124
V428701001;Le ruisseau de Grenette à la Répara-Auriples;STD;1997-09-23 00:00:00;;4.995518320899056;44.66538712392593
V428701201;La Drôme à Livron-sur-Drôme - CNR;STD;2008-09-01 00:00:00;;4.840216826790399;44.7661750115627
V428701202;La Drôme à Livron-sur-Drôme;STD;2023-10-12 12:00:00;;4.840216826790398;44.766175011562694
V430000101;L'Ouvèze au Pouzin;STD;2012-06-14 00:00:00;;4.734174936768131;44.75930310231888
V440000201;[Source captée] à Crupies;STD;2009-01-01 00:00:00;;5.178875211406308;44.55074052713591
V441401001;Le Roubion à Soyans;STD;1965-01-01 00:00:00;;5.0156965059856375;44.624829207409554
V441402001;Le Roubion à Montélimar;STD;2000-03-01 00:00:00;2012-11-13 00:00:00;4.745154638518693;44.55223374701391
V441581001;La Vèbre à Saou [Le Pertuis];STD;1967-08-01 00:00:00;1968-12-01 12:00:00;5.095060585441979;44.654891972885686
V444503001;Le Roubion à Montélimar [Pont Bir-Hakeim];STD;2013-08-12 00:00:00;;4.763391958368249;44.55756285736553
V445501001;Le Jabron à Souspierre;STD;1965-02-10 00:00:00;;4.967286709895315;44.530876103873915
V445503001;Le Jabron à Montélimar - Ancienne;STD;1968-04-01 00:00:00;1977-01-02 00:00:00;4.755078822245967;44.5502395064554
V445503002;Le Jabron à Montélimar - Pont de l'Europe;STD;2013-07-12 00:00:00;;4.757182408859828;44.55026007439649
V453001001;Le Rhône à Viviers - CNR;LIMNIMERE;1920-01-01 00:00:00;;4.700907394526477;44.481312960130545
V453001002;Le Rhône à Viviers;DEB;1996-10-01 00:00:00;;4.7015869394795216;44.481743681398434
V454000201;[Source captée] à Taulignan;STD;2009-01-01 00:00:00;;4.960576658277027;44.469996933744554
V456000201;La Berre [Rivière naturelle] aux Granges-Gontardes;STD;2023-06-15 00:00:00;;4.767827283966113;44.4140322325708
V457001001;Le Rhône à Bourg-Saint-Andéol;STD;1994-09-01 00:00:00;;4.647141560176395;44.368248812076274
V500402001;L'Ardèche à Pont-de-Labeaume [Pont de Rolandy];STD;1965-01-01 00:00:00;1977-10-01 12:00:00;4.285163418902667;44.66786028462129
V500403001;L'Ardèche [Ardèche] à Meyras [Pont Barutel];STD;1984-06-27 00:00:00;;4.270036020713007;44.67013288036225
V500621001;La Fontolière à Meyras [Pont de Pourtalou];STD;1978-05-01 00:00:00;1986-01-07 00:00:00;4.288658654716596;44.6706288681019
V500621401;Le Lignon à Jaujac - Echelle d'Annonce de Crue;H;1912-01-01 07:00:00;1992-12-31 07:00:00;4.254574492077405;44.63758064181184
V500621501;La Fontolière à Chirols;STD;1912-01-01 07:00:00;1992-12-31 07:00:00;4.283773360886638;44.68749358921553
